description,code
"['Abdominales', 'Kompartment', 'Syndrom']",R19.80
"['Sonstige', 'nähern', 'bezeichnen', 'Symptom', 'Verdauungs', 'System', 'Abdomen', 'betreffen']",R19.88
"['Ober', 'Flächliche', 'Verletzung', 'Unterschen', 'Kels']",S80
"['Prellung', 'Knie']",S80.0
"['Prellung', 'sonstig', 'nähern', 'bezeichnet', 'Teil', 'Unterschen', 'Kels']",S80.1
"['Multiple', 'ober', 'flächliche', 'Verletzung', 'Unterschen', 'Kels']",S80.7
"['Sonstige', 'ober', 'flächliche', 'Verletzung', 'Unterschen', 'Kels']",S80.8
"['Schürf', 'Wunde']",S80.81
"['Blase', 'Bildung', '(']",S80.82
"['Insekt', 'Biss', '-stich', '(']",S80.83
"['Ober', 'Fläch', 'Licher', 'Oberfläch', 'Flächlicher', 'Fremd', 'Körper', '(']",S80.84
"['Subkutanes', '(', 'Décollement']",S80.86
['Sonstige'],S80.88
"['Ober', 'Flächliche', 'Verletzung', 'Unterschen', 'Kels', 'nähern', 'bezeichnen']",S80.9
"['Offene', 'Wunde', 'Unterschen', 'Kels']",S81
"['Offene', 'Wunde', 'Knie']",S81.0
"['Multiple', 'offen', 'Wunde', 'Unterschen', 'Kels']",S81.7
"['Offene', 'Wunde', 'sonstig', 'Teil', 'Unterschen', 'Kels']",S81.8
"['Nicht', 'nähern', 'bezeichnen', 'offen', 'Wunde', 'sonstig', 'Teil', 'Unterschen', 'Kels']",S81.80
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'I.', 'Grad', 'geschlossen', 'Fraktur', 'Luxation', 'Unterschen', 'Kels']",S81.84
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'II', 'Grad', 'geschlossen', 'Fraktur', 'Luxation', 'Unterschen', 'Kels']",S81.85
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'III', 'Grad', 'geschlossen', 'Fraktur', 'Luxation', 'Unterschen', 'Kels']",S81.86
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'I.', 'Grad', 'offen', 'Fraktur', 'Luxation', 'Unterschen', 'Kels']",S81.87
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'II', 'Grad', 'offen', 'Fraktur', 'Luxation', 'Unterschen', 'Kels']",S81.88
"['Weich', 'Teil', 'Schaden', 'Weichteil', 'Teilschaden', 'III', 'Grad', 'offen', 'Fraktur', 'Luxation', 'Unterschen', 'Kels']",S81.89
"['Offene', 'Wunde', 'Unterschen', 'Kels', 'Teil', 'nähern', 'bezeichnen']",S81.9
"['Fraktur', 'Unterschen', 'Kels', 'einschließlich', 'ober', 'Sprung', 'Gelenk']",S82
"['Fraktur', 'Patella']",S82.0
"['Fraktur', 'proximalen', 'Ende', 'Tibia']",S82.1
"['Mit', 'Fraktur', 'Fibula', '(', 'Teil']",S82.11
['Sonstige'],S82.18
"['Fraktur', 'Tibiaschaftes']",S82.2
"['Mit', 'Fraktur', 'Fibula', '(', 'Teil']",S82.21
['Sonstige'],S82.28
"['Distale', 'Fraktur', 'Tibia']",S82.3
"['Mit', 'Fraktur', 'Fibula', '(', 'Teil']",S82.31
['Sonstige'],S82.38
"['Fraktur', 'Fibula', 'isolieren']",S82.4
"['Teil', 'nähern', 'bezeichnen']",S82.40
"['Proximales', 'Ende']",S82.41
['Schaft'],S82.42
['Multipel'],S82.49
"['Fraktur', 'Innen', 'Knöchels']",S82.5
"['Fraktur', 'Außen', 'Knöchels']",S82.6
"['Multiple', 'Fraktur', 'Unterschen', 'Kels']",S82.7
"['Fraktur', 'sonstig', 'Teil', 'Unterschen', 'Kels']",S82.8
"['Bimal', 'Leolar', 'Fraktur', 'Bimalleolar', 'Leolarfraktur']",S82.81
"['Trim', 'Alleolar', 'Fraktur', 'Trimalleolar', 'Alleolarfraktur']",S82.82
"['Fraktur', 'sonstig', 'Teil', 'Unterschen', 'Kels']",S82.88
"['Fraktur', 'Unterschen', 'Kels', 'Teil', 'nähern', 'bezeichnen']",S82.9
"['Luxation', 'Verstauchung', 'Zerrung', 'Kniegelenkes', 'Bändern', 'Kniegelenkes']",S83
"['Luxation', 'Patella']",S83.0
"['Luxation', 'Kniegelenkes']",S83.1
"['Nicht', 'nähern', 'bezeichnen']",S83.10
"['Luxation', 'proximalen', 'Tibia', 'anterior']",S83.11
"['Luxation', 'proximalen', 'Tibia', 'posterior']",S83.12
"['Luxation', 'proximalen', 'Tibia', 'medial']",S83.13
"['Luxation', 'proximalen', 'Tibia', 'lateral']",S83.14
['Sonstige'],S83.18
"['Meniskusriss', 'akut']",S83.2
"['Riss', 'Kniegelen', 'K', 'Knorpel', 'Kniegelenk', 'Kknorpels', 'akut']",S83.3
"['Verstauchung', 'Zerrung', 'Kniegelenkes', 'Beteiligung', '(', '(', 'Seite', 'Bandes']",S83.4
"['Nicht', 'nähern', 'bezeichnet', 'Seite', 'Band']",S83.40
"['Distorsion', 'fibularen', 'Seite', 'Bandes', '[']",S83.41
"['Distorsion', 'tibialen', 'Seite', 'Bandes', '[']",S83.42
"['Riss', 'fibularen', 'Seite', 'Bandes', '[']",S83.43
"['Riss', 'tibialen', 'Seite', 'Bandes', '[']",S83.44
"['Verstauchung', 'Zerrung', 'Kniegelenkes', 'Beteiligung', '(', '(', 'Kreuz', 'Bandes']",S83.5
"['Nicht', 'nähern', 'bezeichnet', 'Kreuz', 'Band']",S83.50
"['Distorsion', 'vorder', 'Kreuz', 'Bandes']",S83.51
"['Distorsion', 'hinter', 'Kreuz', 'Bandes']",S83.52
"['Riss', 'vorder', 'Kreuz', 'Bandes']",S83.53
"['Riss', 'hinter', 'Kreuz', 'Bandes']",S83.54
"['Verstauchung', 'Zerrung', 'sonstig', 'nähern', 'bezeichnet', 'Teil', 'Knie']",S83.6
"['Verletzung', 'mehrer', 'Struktur', 'Knie']",S83.7
"['Verletzung', 'Nerv', 'Höhe', 'Unterschen', 'Kels']",S84
"['Verletzung', 'N.', 'tibialis', 'Höhe', 'Unterschen', 'Kels']",S84.0
"['Verletzung', 'N.', 'peronaeus', 'Höhe', 'Unterschen', 'Kels']",S84.1
"['Verletzung', 'sensibel', 'Hautnerven', 'Höhe', 'Unterschen', 'Kels']",S84.2
"['Verletzung', 'mehrer', 'Nerv', 'Höhe', 'Unterschen', 'Kels']",S84.7
"['Verletzung', 'sonstig', 'Nerv', 'Höhe', 'Unterschen', 'Kels']",S84.8
"['Verletzung', 'nähern', 'bezeichnen', 'Nerv', 'Höhe', 'Unterschen', 'Kels']",S84.9
"['Verletzung', 'Blut', 'Ge', 'Fäßen', 'Blutge', 'Gefäß', 'Höhe', 'Unterschen', 'Kels']",S85
"['Verletzung', 'A', 'poplitea']",S85.0
"['Verletzung', 'A', 'tibialis', '(', '(']",S85.1
"['Verletzung', 'A', 'peronaea']",S85.2
"['Verletzung', 'V', 'saphena', 'magna', 'Höhe', 'Unterschen', 'Kels']",S85.3
"['Verletzung', 'V', 'saphena', 'parva', 'Höhe', 'Unterschen', 'Kels']",S85.4
"['Verletzung', 'V', 'poplitea']",S85.5
"['Verletzung', 'mehrer', 'Blut', 'Gefäß', 'Höhe', 'Unterschen', 'Kels']",S85.7
"['Verletzung', 'sonstig', 'Blut', 'Gefäß', 'Höhe', 'Unterschen', 'Kels']",S85.8
"['Verletzung', 'nähern', 'bezeichnen', 'Blut', 'Ge', 'Fäßes', 'Blutge', 'Gefäß', 'Höhe', 'Unterschen', 'Kels']",S85.9
"['Verletzung', 'Muskel', 'Sehne', 'Höhe', 'Unterschen', 'Kels']",S86
"['Verletzung', 'Achillessehne']",S86.0
"['Verletzung', 'sonstig', 'Muskel', 'Sehne', 'poster', 'ioren', 'Muskel', 'Gruppe', 'Höhe', 'Unterschen', 'Kels']",S86.1
"['Verletzung', 'Muskel', 'Sehne', 'anter', 'ioren', 'Muskel', 'Gruppe', 'Höhe', 'Unterschen', 'Kels']",S86.2
"['Verletzung', 'Muskel', 'Sehne', 'peron', 'äalen', 'Muskel', 'Gruppe', 'Höhe', 'Unterschen', 'Kels']",S86.3
"['Verletzung', 'mehrer', 'Muskel', 'Sehne', 'Höhe', 'Unterschen', 'Kels']",S86.7
"['Verletzung', 'sonstig', 'Muskel', 'Sehne', 'Höhe', 'Unterschen', 'Kels']",S86.8
"['Verletzung', 'nähern', 'bezeichnen', 'Muskel', 'nähern', 'bezeichnen', 'Sehne', 'Höhe', 'Unterschen', 'Kels']",S86.9
"['Zerquetschung', 'Unterschen', 'Kels']",S87
"['Zerquetschung', 'Knie']",S87.0
"['Zerquetschung', 'sonstig', 'nähern', 'bezeichnet', 'Teil', 'Unterschen', 'Kels']",S87.8
"['Trauma', 'Tisch', 'Amputation', 'Unterschenkel']",S88
"['Trauma', 'Tisch', 'Amputation', 'Kniegelenk']",S88.0
"['Trauma', 'Tisch', 'Amputation', 'Knie', 'ober', 'Sprung', 'Gelenk']",S88.1
"['Trauma', 'Tisch', 'Amputation', 'Unterschenkel', 'Höhe', 'nähern', 'bezeichnen']",S88.9
"['Sonstige', 'nähern', 'bezeichnen', 'Verletzung', 'Unterschen', 'Kels']",S89
"['Multiple', 'Verletzung', 'Unterschen', 'Kels']",S89.7
"['Sonstige', 'nähern', 'bezeichnen', 'Verletzung', 'Unterschen', 'Kels']",S89.8
"['Nicht', 'nähern', 'bezeichnen', 'Verletzung', 'Unterschen', 'Kels']",S89.9
['Hypotonie'],I95
"['Idio', 'Pathische', 'Hypotonie']",I95.0
"['Orthostatische', 'Hypotonie']",I95.1
"['Hypotonie', 'Arznei', 'Mittel']",I95.2
"['Sonstige', 'Hypotonie']",I95.8
"['Hypotonie', 'nähern', 'bezeichnen']",I95.9
"['Kreislauf', 'Komplikation', 'medizinisch', 'Maßnahme', 'ander', 'orts', 'klassifizieren']",I97
"['Post', 'Kardiotomie']",I97.0
"['Sonstige', 'Funktions', 'Störung', 'kardio', 'chirurg', 'ischem', 'kardiochirurg', 'chirurgisch', 'Eingriff']",I97.1
"['Lymphödem', '(', 'Mastektomie']",I97.2
"['Lymphödem', '(', 'Mastektomie', '(', 'Lymphade', 'Nektomie', 'Stadium', 'I']",I97.20
"['Lymphödem', '(', 'Mastektomie', '(', 'Lymphade', 'Nektomie', 'Stadium', 'II']",I97.21
"['Lymphödem', '(', 'Mastektomie', '(', 'Lymphade', 'Nektomie', 'Stadium', 'III']",I97.22
"['Lymphödem', '(', 'Mastektomie', 'nähern', 'bezeichnen']",I97.29
"['Sonstige', 'Kreislauf', 'Komplikation', 'medizinisch', 'Maßnahme', 'ander', 'orts', 'klassifizieren']",I97.8
"['Lymphödem', 'medizinisch', 'Maßnahme', 'zervikalen', 'Lymphabfluss', 'Gebiet', 'Stadium']",I97.80
"['Lymphödem', 'medizinisch', 'Maßnahme', 'axillären', 'Lymphabfluss', 'Gebiet', 'Stadium', 'I']",I97.81
"['Lymphödem', 'medizinisch', 'Maßnahme', 'axillären', 'Lymphabfluss', 'Gebiet', 'Stadium', 'II']",I97.82
"['Lymphödem', 'medizinisch', 'Maßnahme', 'axillären', 'Lymphabfluss', 'Gebiet', 'Stadium', 'III']",I97.83
"['Lymphödem', 'medizinisch', 'Maßnahme', 'inguinalen', 'Lymphabfluss', 'Gebiet', 'Stadium', 'I']",I97.84
"['Lymphödem', 'medizinisch', 'Maßnahme', 'inguinalen', 'Lymphabfluss', 'Gebiet', 'Stadium', 'II']",I97.85
"['Lymphödem', 'medizinisch', 'Maßnahme', 'inguinalen', 'Lymphabfluss', 'Gebiet', 'Stadium', 'III']",I97.86
"['Lymphödem', 'medizinisch', 'Maßnahme', 'Urogenital', 'System', 'Stadium']",I97.87
"['Lymphödem', 'medizinisch', 'Maßnahme', 'sonstig', 'Lokalisationen', 'Stadium']",I97.88
"['Sonstige', 'Kreislauf', 'Komplikation', 'medizinisch', 'Maßnahme', 'ander', 'orts', 'klassifizieren']",I97.89
"['Kreislauf', 'Komplikation', 'medizinisch', 'Maßnahme', 'nähern', 'bezeichnen']",I97.9
"['Sonstige', 'Störung', 'Kreislauf', 'System', 'ander', 'orts', 'klassifizieren', 'Krank', 'Heiten']",I98
"['Kardio', 'Vaskuläre', 'Syphilis']",I98.0
"['Störung', 'Herz-', 'Kreislauf', 'System', 'Herz-kreislauf', 'Kreislaufsystems', 'sonstig', 'ander', 'orts', 'klassifizieren', 'infektiös', 'parasitär', 'Krank', 'Heiten']",I98.1
"['Ösophagus', '-', 'Magen', 'Varizen', 'ander', 'orts', 'klassifizieren', 'Krankheit', 'Angabe', 'Blutung']",I98.2
"['Ösophagus', '-', 'Magen', 'Varizen', 'ander', 'orts', 'klassifizieren', 'Krankheit', 'Angabe', 'Blutung']",I98.3
"['Sonstige', 'nähern', 'bezeichnen', 'Störung', 'Kreislauf', 'System', 'ander', 'orts', 'klassifizieren', 'Krank', 'Heiten']",I98.8
"['Sonstige', 'nähern', 'bezeichnen', 'Krank', 'Heiten', 'Kreislauf', 'System']",I99
"['Sonstige', 'sekundäre', 'Schlüssel', 'Nummer', 'besonder', 'Zweck']",U69
"['Anderenorts', 'klassifizieren', 'Kranke', 'Haus', 'erworben', 'Pneumonie']",U69.0
"['Anderenorts', 'klassifizieren', 'Kranke', 'Haus', 'erworben', 'Pneumonie', '48', 'Stunde', 'Aufnahme', 'auftreten']",U69.01
"['Anderenorts', 'klassifizieren', 'Kranke', 'Haus', 'erworben', 'Pneumonie', 'Aufnahme', 'bestehen', 'inner', 'halb', '48', 'Stunde', 'Aufnahme', 'auftreten', 'bekannt', '28', 'Tag', 'zurück', 'liegend', 'Hospital', 'Isierung']",U69.02
"['Anderenorts', 'klassifizieren', 'Kranke', 'Haus', 'erworben', 'Pneumonie', 'Aufnahme', 'bestehen', 'inner', 'halb', '48', 'Stunde', 'Aufnahme', 'auftreten', 'bekannt', '29', '90', 'Tag', 'zurück', 'liegend', 'Hospital', 'Isierung']",U69.03
"['sekundär', 'Schlüssel', 'Nummer', 'besonder', 'admin', 'istrative', 'Zweck']",U69.1
"['Anderenorts', 'klassifizieren', 'Krankheit', 'Verdacht', 'bestehen', 'Folge', 'medizinisch', 'indizieren', 'ästhe', 'tischen', 'Operation', 'Tätowierung', 'Piercings']",U69.10
"['Dauer', 'Haft', 'erworben', 'Blutger', 'Innungs', 'Störung', 'Blutgerinnungs', 'Innungsstörung']",U69.11
"['Temporäre', 'Blutger', 'Innungs', 'Störung', 'Blutgerinnungs', 'Innungsstörung']",U69.12
"['Herz-', 'Kreislauf-', 'Still', 'Stand', 'Herz-kreislauf-', 'Kreislauf-still', 'Stillstand', 'Aufnahme', 'Kranke', 'Haus']",U69.13
"['sekundär', 'Schlüssel', 'Nummer', 'besonder', 'epidemio', 'logische', 'Zweck']",U69.2
"['Influenza', 'A', 'Pandemie', '2009', '[']",U69.20
"['Influenza', 'A', 'Epidemie', '[']",U69.21
"['sekundär', 'Schlüssel', 'Nummer', 'Art', 'Konsum', 'psycho', 'troper', 'Substanz', 'verursachen', 'psych', 'ischen', 'Verhalten', 'Störung']",U69.3
"['Intraven', 'Öser', 'Konsum', 'Heroin']",U69.30
"['Nicht', 'Intravenöser', 'Konsum', 'Heroin']",U69.31
"['Intraven', 'Öser', 'Konsum', 'sonstig', 'psycho', 'troper', 'Substanz']",U69.32
"['Intraven', 'Öser', 'Konsum', '(', 'Stoff']",U69.33
"['Nicht', 'Intravenöser', 'Konsum', '(', 'Stoff']",U69.34
"['Intraven', 'Öser', 'Konsum', 'sonstig', 'Stimulanzien', 'Koffein']",U69.35
"['Nicht', 'Intravenöser', 'Konsum', 'sonstig', 'Stimulanzien', 'Koffein']",U69.36
"['sekundär', 'Schlüssel', 'Nummer', 'Spezifizierung', 'Infektion']",U69.4
"['rekurrent', 'Infektion', 'Clostridium', 'difficile']",U69.40
"['sekundär', 'Schlüssel', 'Nummer', 'Angabe', 'mehrer', 'Region', 'sekundär', 'nähern', 'bezeichnet', 'bösartig', 'Neubildung', 'Lymph', 'Knoten']",U69.5
"['Lymph', 'Knoten', 'Kopf', 'Gesicht', 'Hals']",U69.50
"['Intrat', 'Horakale', 'Lymph', 'Knoten']",U69.51
"['Intra', 'ab', 'Dominale', 'Intraab', 'Abdominale', 'Lymph', 'Knoten']",U69.52
"['Axilläre', 'Lymph', 'Knoten', 'Lymph', 'Knoten', 'ober', 'Extremität']",U69.53
"['Inguinale', 'Lymph', 'Knoten', 'Lymph', 'Knoten', 'unter', 'Extremität']",U69.54
"['Intra', 'Pelvine', 'Lymph', 'Knoten']",U69.55
"['sekundär', 'Schlüssel', 'Nummer', 'Spezifizierung', 'Husten', 'chronisch', 'idio', 'pathisch', 'chronisch', 'refraktär']",U69.6
"['Angeborene', 'Fehl', 'Bild', 'Ungen', 'Fehlbild', 'Bildung', 'Nase']",Q30
['Choanalatresie'],Q30.0
"['Agenesie', 'Unter', 'Entwicklung', 'Nase']",Q30.1
"['Nase', 'Furche', 'Nase', 'Einkerbung', 'Spaltnase']",Q30.2
"['Angeborene', 'Perforation', 'Nasenseptums']",Q30.3
"['Sonstige', 'angeboren', 'Fehl', 'Bild', 'Ungen', 'Fehlbild', 'Bildung', 'Nase']",Q30.8
"['Angeborene', 'Fehl', 'Bildung', 'Nase', 'nähern', 'bezeichnen']",Q30.9
"['Angeborene', 'Fehl', 'Bild', 'Ungen', 'Fehlbild', 'Bildung', 'Kehl', 'Kopf']",Q31
"['Kehlkopf', 'Segel']",Q31.0
"['Angeborene', 'subglot', 'tische', 'Stenose']",Q31.1
"['Hypoplasie', 'Kehl', 'Kopf']",Q31.2
"['Laryngozele', '(']",Q31.3
"['Angeborene', 'Laryngomalazie']",Q31.5
"['Sonstige', 'angeboren', 'Fehl', 'Bild', 'Ungen', 'Fehlbild', 'Bildung', 'Kehl', 'Kopf']",Q31.8
"['Angeborene', 'Fehl', 'Bildung', 'Kehl', 'Kopf', 'nähern', 'bezeichnen']",Q31.9
"['Angeborene', 'Fehl', 'Bild', 'Ungen', 'Fehlbild', 'Bildung', 'Trachea', 'Bronchie']",Q32
"['Angeborene', 'Trache', 'Omalazie']",Q32.0
"['Sonstige', 'angeboren', 'Fehl', 'Bild', 'Ungen', 'Fehlbild', 'Bildung', 'Trachea']",Q32.1
"['Angeborene', 'Bronchomal', 'Azie']",Q32.2
"['Angeborene', 'Bronchus', 'Stenose']",Q32.3
"['Sonstige', 'angeboren', 'Fehl', 'Bild', 'Ungen', 'Fehlbild', 'Bildung', 'Bronchie']",Q32.4
"['Angeborene', 'Fehl', 'Bild', 'Ungen', 'Fehlbild', 'Bildung', 'Lunge']",Q33
"['Angeborene', 'Zyste', 'Lunge']",Q33.0
"['Akzessor', 'Ischer', 'Lunge', 'Lappe']",Q33.1
"['Lunge', 'Sequestration', '(']",Q33.2
"['Agenesie', 'Lunge']",Q33.3
"['Angeborene', 'Bron', 'Chiekt', 'Asie', 'Bronchiekt', 'Chiektasie']",Q33.4
"['Ektop', 'Isches', 'Gewebe', 'Lunge', '(']",Q33.5
"['Hypoplasie', 'Dysplasie', 'Lunge']",Q33.6
"['Sonstige', 'angeboren', 'Fehl', 'Bild', 'Ungen', 'Fehlbild', 'Bildung', 'Lunge']",Q33.8
"['Angeborene', 'Fehl', 'Bildung', 'Lunge', 'nähern', 'bezeichnen']",Q33.9
"['Sonstige', 'angeboren', 'Fehl', 'Bild', 'Ungen', 'Fehlbild', 'Bildung', 'Atmungs', 'System']",Q34
"['Anomalie', 'Pleura']",Q34.0
"['Angeborene', 'Mediastinal', 'Zyste']",Q34.1
"['Sonstige', 'nähern', 'bezeichnen', 'angeboren', 'Fehl', 'Bild', 'Ungen', 'Fehlbild', 'Bildung', 'Atmungs', 'System']",Q34.8
"['Angeborene', 'Fehl', 'Bildung', 'Atmungs', 'System', 'nähern', 'bezeichnen']",Q34.9
['Osteomyelitis'],M86
"['Akute', 'häma', 'togene', 'Osteomyelitis']",M86.0
"['Sonstige', 'akut', 'Osteomyelitis']",M86.1
"['Subakute', 'Osteomyelitis']",M86.2
"['chronisch', 'multi', 'fokale', 'Osteomyelitis']",M86.3
"['chronisch', 'Osteomyelitis', 'Fistel']",M86.4
"['Sonstige', 'chronische', 'häma', 'togene', 'Osteomyelitis']",M86.5
"['Sonstige', 'chronische', 'Osteomyelitis']",M86.6
"['Sonstige', 'Osteomyelitis']",M86.8
"['Osteomyelitis', 'nähern', 'bezeichnen']",M86.9
"['Knochen', 'Nekrose']",M87
"['Idio', 'Pathische', 'aseptische', 'Knochen', 'Nekrose']",M87.0
"['Knochen', 'Nekrose', 'Arznei', 'Mittel']",M87.1
"['Knochen', 'Nekrose', 'vorangegangen', 'Trauma']",M87.2
"['Sonstige', 'sekundäre', 'Knochen', 'Nekrose']",M87.3
"['Sonstige', 'Knochen', 'Nekrose']",M87.8
"['Knochen', 'Nekrose', 'nähern', 'bezeichnen']",M87.9
"['Osteo', 'Dystrophia', 'deformans', '[']",M88
"['Osteo', 'Dystrophia', 'deformans', 'Schädel', 'Knochen']",M88.0
"['Osteo', 'Dystrophia', 'deformans', 'sonstig', 'Knochen']",M88.8
"['Osteo', 'Dystrophia', 'deformans', 'nähern', 'bezeichnen']",M88.9
"['Sonstige', 'Knochen', 'Krankheit']",M89
"['Neuro', 'Dystrophie', '[']",M89.0
"['Still', 'Stand', 'Epiphyse', 'Wachstum']",M89.1
"['Sonstige', 'Störung', 'Knochen', 'Entwicklung', 'Knochen', 'Wachstum']",M89.2
"['Hyper', 'Trophie', 'Knochen']",M89.3
"['Sonstige', 'hyper', 'trophische', 'Osteoar', 'Thropathie']",M89.4
['Osteolyse'],M89.5
"['Osteopathie', 'Poliomyelitis']",M89.6
"['Sonstige', 'nähern', 'bezeichnen', 'Knochen', 'Krankheit']",M89.8
"['Knochen', 'Krankheit', 'nähern', 'bezeichnen']",M89.9
"['Osteopathien', 'ander', 'orts', 'klassifizieren', 'Krank', 'Heiten']",M90
"['Knochen', 'Tuber', 'Kulose', 'Knochentuber', 'Tuberkulose', '(']",M90.0
"['Periostitis', 'sonstig', 'ander', 'orts', 'klassifizieren', 'Infektions', 'Krankheit']",M90.1
"['Osteopathie', 'sonstig', 'ander', 'orts', 'klassifizieren', 'Infektions', 'Krankheit']",M90.2
"['Knochen', 'Nekrose', 'Caisson', 'Krankheit', '(']",M90.3
"['Knochen', 'Nekrose', 'Hämoglobinopathie', '(']",M90.4
"['Knochen', 'Nekrose', 'sonstig', 'ander', 'orts', 'klassifizieren', 'Krank', 'Heiten']",M90.5
"['Osteo', 'Dystrophia', 'deformans', 'Neubildungen', '(']",M90.6
"['Knochen', 'Fraktur', 'Neubildungen', '(']",M90.7
"['Osteopathie', 'sonstig', 'ander', 'orts', 'klassifizieren', 'Krank', 'Heiten']",M90.8
"['Myasthenia', 'gravis', 'sonstig', 'neuro', 'muskuläre', 'Krank', 'Heiten']",G70
"['Myasthenia', 'gravis']",G70.0
"['Toxische', 'neuro', 'muskuläre', 'Krank', 'Heiten']",G70.1
"['Angeborene', 'entwicklungs', 'bedingte', 'Myasthenie']",G70.2
"['Sonstige', 'nähern', 'bezeichnen', 'neuro', 'muskuläre', 'Krank', 'Heiten']",G70.8
"['Neuro', 'Mus', 'Kuläre', 'Neuromus', 'muskulär', 'Krankheit', 'nähern', 'bezeichnen']",G70.9
"['primär', 'Myopathien']",G71
"['Muskel', 'Dystrophie']",G71.0
"['Myotone', 'Syndrome']",G71.1
"['Angeborene', 'Myopathien']",G71.2
"['Mitochon', 'Driale', 'Myopathie', 'ander', 'orts', 'klassifizieren']",G71.3
"['Sonstige', 'primäre', 'Myopathien']",G71.8
"['primär', 'Myopathie', 'nähern', 'bezeichnen']",G71.9
"['Sonstige', 'Myopathien']",G72
"['Arznei', 'Mittel', 'induziert', 'Arzneimittel', 'Mittelinduzierte', 'Myopathie']",G72.0
['Alkoholmyopathie'],G72.1
"['Myopathie', 'sonstig', 'toxisch', 'Agenzien']",G72.2
"['Period', 'Ische', 'Lähmung']",G72.3
"['Entzündliche', 'Myopathie', 'ander', 'orts', 'klassifizieren']",G72.4
"['Sonstige', 'nähern', 'bezeichnen', 'Myopathien']",G72.8
"['Critical', '-illness-', 'Myopathie', 'Critical-illness-', '-illness-Myopathie']",G72.80
"['Sonstige', 'nähern', 'bezeichnen', 'Myopathien']",G72.88
"['Myopathie', 'nähern', 'bezeichnen']",G72.9
"['Krank', 'Heiten', 'Bereich', 'neuro', 'muskulär', 'Synapse', 'Muskel', 'ander', 'orts', 'klassifizieren', 'Krank', 'Heiten']",G73
"['Myasthenie', 'Syndrome', 'endokrinen', 'Krank', 'Heiten']",G73.0
"['Lambert', '-eaton', '-', 'Lambert-eaton', '-eaton-', '(']",G73.1
"['Sonstige', 'Myasthenie', 'Syndrome', 'Neubildungen', '(']",G73.2
"['Myasthenie', 'Syndrome', 'sonstig', 'ander', 'orts', 'klassifizieren', 'Krank', 'Heiten']",G73.3
"['Myopathie', 'ander', 'orts', 'klassifizieren', 'infektiös', 'parasitär', 'Krank', 'Heiten']",G73.4
"['Myopathie', 'endokrinen', 'Krank', 'Heiten']",G73.5
"['Myopathie', 'Stoff', 'Wechsel', 'Krankheit', 'Stoffwechsel', 'Wechselkrankheiten']",G73.6
"['Myopathie', 'sonstig', 'ander', 'orts', 'klassifizieren', 'Krank', 'Heiten']",G73.7
"['Sonstige', 'nähern', 'bezeichnen', 'Komplikation', 'Traumas']",T89
"['Komplikation', 'offen', 'Wunde']",T89.0
"['Nicht', 'nähern', 'bezeichnen']",T89.00
"['Fremd', 'Körper', '(', 'Infektion']",T89.01
['Infektion'],T89.02
['Sonstige'],T89.03
"['bösartig', 'Neubildung', 'Nase', 'Höhle', 'Mittel', 'Ohres']",C30
"['Nase', 'Höhle']",C30.0
['Mittelohr'],C30.1
"['bösartig', 'Neubildung', 'Nase', 'Neben', 'Höhle', 'Nasenneben', 'Nebenhöhle']",C31
"['Sinus', 'maxillaris', '[']",C31.0
"['Sinus', 'ethmoidalis', '[']",C31.1
"['Sinus', 'frontalis', '[']",C31.2
"['Sinus', 'sphenoidalis', '[']",C31.3
"['Nase', 'Neben', 'Höhle', 'Nasenneben', 'Nebenhöhle', 'mehrer', 'Teil', 'Bereich', 'über', 'lappen']",C31.8
"['Nase', 'Neben', 'Höhle', 'Nasenneben', 'Nebenhöhle', 'nähern', 'bezeichnen']",C31.9
"['bösartig', 'Neubildung', 'Larynx']",C32
['Glottis'],C32.0
['Supraglottis'],C32.1
['Subglottis'],C32.2
"['Larynx', 'Knorpel']",C32.3
"['Larynx', 'mehrer', 'Teil', 'Bereich', 'über', 'lappen']",C32.8
"['Larynx', 'nähern', 'bezeichnen']",C32.9
"['bösartig', 'Neubildung', 'Trachea']",C33
"['bösartig', 'Neubildung', 'Bronchie', 'Lunge']",C34
"['Haupt', 'Bronchus']",C34.0
"['Ober', 'Lappe', '(']",C34.1
"['Mittel', 'Lappe', '(']",C34.2
"['Unter', 'Lappe', '(']",C34.3
"['Bronchus', 'Lunge', 'mehrer', 'Teil', 'Bereich', 'über', 'lappen']",C34.8
"['Bronchus', 'Lunge', 'nähern', 'bezeichnen']",C34.9
"['bösartig', 'Neubildung', 'Thymus']",C37
"['bösartig', 'Neubildung', 'Herzen', 'Mediastinums', 'Pleura']",C38
['Herz'],C38.0
"['Vorderes', 'Mediastinum']",C38.1
"['Hinteres', 'Mediastinum']",C38.2
"['Mediastinum', 'Teil', 'nähern', 'bezeichnen']",C38.3
['Pleura'],C38.4
"['Herz', 'Mediastinum', 'Pleura', 'mehrer', 'Teil', 'Bereich', 'über', 'lappen']",C38.8
