description,code
Prellung des Rachens,S10.0
Sonstige und nicht näher bezeichnete oberflächliche Verletzungen des Rachens,S10.1
Multiple oberflächliche Verletzungen des Halses,S10.7
Oberflächliche Verletzung sonstiger Teile des Halses,S10.8
"Oberflächliche Verletzung des Halses, Teil nicht näher bezeichnet",S10.9
Offene Wunde des Halses,S11
Offene Wunde mit Beteiligung des Kehlkopfes und der Trachea,S11.0
Kehlkopf,S11.01
"Trachea, Pars cervicalis",S11.02
Offene Wunde mit Beteiligung der Schilddrüse,S11.1
"Offene Wunde mit Beteiligung des Rachens und des Ösophagus, Pars cervicalis",S11.2
Rachen,S11.21
"Ösophagus, Pars cervicalis",S11.22
Multiple offene Wunden des Halses,S11.7
Offene Wunde sonstiger Teile des Halses,S11.8
Nicht näher bezeichnete offene Wunde sonstiger Teile des Halses,S11.80
Weichteilschaden I. Grades bei geschlossener Fraktur oder Luxation des Halses,S11.84
Weichteilschaden II. Grades bei geschlossener Fraktur oder Luxation des Halses,S11.85
Weichteilschaden III. Grades bei geschlossener Fraktur oder Luxation des Halses,S11.86
Weichteilschaden I. Grades bei offener Fraktur oder Luxation des Halses,S11.87
Weichteilschaden II. Grades bei offener Fraktur oder Luxation des Halses,S11.88
Weichteilschaden III. Grades bei offener Fraktur oder Luxation des Halses,S11.89
"Offene Wunde des Halses, Teil nicht näher bezeichnet",S11.9
Fraktur im Bereich des Halses,S12
Fraktur des 1. Halswirbels,S12.0
Fraktur des 2. Halswirbels,S12.1
Fraktur eines sonstigen näher bezeichneten Halswirbels,S12.2
Fraktur des 3. Halswirbels,S12.21
Fraktur des 4. Halswirbels,S12.22
Fraktur des 5. Halswirbels,S12.23
Fraktur des 6. Halswirbels,S12.24
Fraktur des 7. Halswirbels,S12.25
Multiple Frakturen der Halswirbelsäule,S12.7
Fraktur sonstiger Teile im Bereich des Halses,S12.8
"Fraktur im Bereich des Halses, Teil nicht näher bezeichnet",S12.9
"Luxation, Verstauchung und Zerrung von Gelenken und Bändern in Halshöhe",S13
Traumatische Ruptur einer zervikalen Bandscheibe,S13.0
Luxation eines Halswirbels,S13.1
Höhe nicht näher bezeichnet,S13.10
C1/C2,S13.11
C2/C3,S13.12
C3/C4,S13.13
C4/C5,S13.14
C5/C6,S13.15
C6/C7,S13.16
C7/T1,S13.17
Sonstige,S13.18
Luxation sonstiger und nicht näher bezeichneter Teile im Bereich des Halses,S13.2
Multiple Luxationen im Bereich des Halses,S13.3
Verstauchung und Zerrung der Halswirbelsäule,S13.4
Verstauchung und Zerrung in der Schilddrüsenregion,S13.5
Verstauchung und Zerrung von Gelenken und Bändern sonstiger und nicht näher bezeichneter Teile des Halses,S13.6
Verletzung der Nerven und des Rückenmarkes in Halshöhe,S14
Kontusion und Ödem des zervikalen Rückenmarkes,S14.0
Sonstige und nicht näher bezeichnete Verletzungen des zervikalen Rückenmarkes,S14.1
"Verletzungen des zervikalen Rückenmarkes, nicht näher bezeichnet",S14.10
Komplette Querschnittverletzung des zervikalen Rückenmarkes,S14.11
Zentrale Halsmarkverletzung (inkomplette Querschnittverletzung),S14.12
Sonstige inkomplette Querschnittverletzungen des zervikalen Rückenmarkes,S14.13
Verletzung von Nervenwurzeln der Halswirbelsäule,S14.2
Verletzung des Plexus brachialis,S14.3
Verletzung peripherer Nerven des Halses,S14.4
Verletzung zervikaler sympathischer Nerven,S14.5
Verletzung sonstiger und nicht näher bezeichneter Nerven des Halses,S14.6
Funktionale Höhe einer Verletzung des zervikalen Rückenmarkes,S14.7
Höhe nicht näher bezeichnet,S14.70
C1,S14.71
C2,S14.72
C3,S14.73
C4,S14.74
C5,S14.75
C6,S14.76
C7,S14.77
C8,S14.78
Verletzung von Blutgefäßen in Halshöhe,S15
Verletzung der A. carotis,S15.0
"A. carotis, Teil nicht näher bezeichnet",S15.00
A. carotis communis,S15.01
A. carotis externa,S15.02
A. carotis interna,S15.03
Verletzung der A. vertebralis,S15.1
Verletzung der V. jugularis externa,S15.2
Verletzung der V. jugularis interna,S15.3
Verletzung mehrerer Blutgefäße in Höhe des Halses,S15.7
Verletzung sonstiger Blutgefäße in Höhe des Halses,S15.8
Verletzung epiduraler Blutgefäße in Höhe des Halses,S15.80
Verletzung subduraler Blutgefäße in Höhe des Halses,S15.81
Verletzung subarachnoidaler Blutgefäße in Höhe des Halses,S15.82
Verletzung sonstiger Blutgefäße in Höhe des Halses,S15.88
Verletzung eines nicht näher bezeichneten Blutgefäßes in Höhe des Halses,S15.9
Verletzung von Muskeln und Sehnen in Halshöhe,S16
Zerquetschung des Halses,S17
Zerquetschung des Kehlkopfes und der Trachea,S17.0
Zerquetschung sonstiger Teile des Halses,S17.8
"Zerquetschung des Halses, Teil nicht näher bezeichnet",S17.9
Traumatische Amputation in Halshöhe,S18
Sonstige und nicht näher bezeichnete Verletzungen des Halses,S19
Multiple Verletzungen des Halses,S19.7
Sonstige näher bezeichnete Verletzungen des Halses,S19.8
Verletzung zervikaler Rückenmarkhäute,S19.80
Sonstige näher bezeichnete Verletzungen des Halses,S19.88
Nicht näher bezeichnete Verletzung des Halses,S19.9
Neuritis nervi optici,H46
Sonstige Affektionen des N. opticus [II. Hirnnerv] und der Sehbahn,H47
"Affektionen des N. opticus, anderenorts nicht klassifiziert",H47.0
"Stauungspapille, nicht näher bezeichnet",H47.1
Optikusatrophie,H47.2
Sonstige Affektionen der Papille,H47.3
Affektionen des Chiasma opticum,H47.4
Affektionen sonstiger Teile der Sehbahn,H47.5
Affektionen der Sehrinde,H47.6
"Affektion der Sehbahn, nicht näher bezeichnet",H47.7
Affektionen des N. opticus [II. Hirnnerv] und der Sehbahn bei anderenorts klassifizierten Krankheiten,H48
Optikusatrophie bei anderenorts klassifizierten Krankheiten,H48.0
Retrobulbäre Neuritis bei anderenorts klassifizierten Krankheiten,H48.1
Sonstige Affektionen des N. opticus und der Sehbahn bei anderenorts klassifizierten Krankheiten,H48.8
Otitis externa,H60
Abszess des äußeren Ohres,H60.0
Phlegmone des äußeren Ohres,H60.1
Otitis externa maligna,H60.2
Sonstige infektiöse Otitis externa,H60.3
Cholesteatom im äußeren Ohr,H60.4
"Akute Otitis externa, nichtinfektiös",H60.5
Sonstige Otitis externa,H60.8
"Otitis externa, nicht näher bezeichnet",H60.9
Sonstige Krankheiten des äußeren Ohres,H61
Perichondritis des äußeren Ohres,H61.0
Nichtinfektiöse Krankheiten der Ohrmuschel,H61.1
Zeruminalpfropf,H61.2
Erworbene Stenose des äußeren Gehörganges,H61.3
Sonstige näher bezeichnete Krankheiten des äußeren Ohres,H61.8
"Krankheit des äußeren Ohres, nicht näher bezeichnet",H61.9
Krankheiten des äußeren Ohres bei anderenorts klassifizierten Krankheiten,H62
Otitis externa bei anderenorts klassifizierten bakteriellen Krankheiten,H62.0
Otitis externa bei anderenorts klassifizierten Viruskrankheiten,H62.1
Otitis externa bei anderenorts klassifizierten Mykosen,H62.2
Otitis externa bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten,H62.3
Otitis externa bei sonstigen anderenorts klassifizierten Krankheiten,H62.4
Sonstige Krankheiten des äußeren Ohres bei anderenorts klassifizierten Krankheiten,H62.8
"Komplikationen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken",T80
"Luftembolie nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken",T80.0
"Gefäßkomplikationen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken",T80.1
"Infektionen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken",T80.2
AB0-Unverträglichkeitsreaktion,T80.3
Rh-Unverträglichkeitsreaktion,T80.4
Anaphylaktischer Schock durch Serum,T80.5
Sonstige Serumreaktionen,T80.6
"Sonstige Komplikationen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken",T80.8
"Nicht näher bezeichnete Komplikation nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken",T80.9
"Komplikationen bei Eingriffen, anderenorts nicht klassifiziert",T81
"Blutung und Hämatom als Komplikation eines Eingriffes, anderenorts nicht klassifiziert",T81.0
"Schock während oder als Folge eines Eingriffes, anderenorts nicht klassifiziert",T81.1
"Versehentliche Stich- oder Risswunde während eines Eingriffes, anderenorts nicht klassifiziert",T81.2
"Aufreißen einer Operationswunde, anderenorts nicht klassifiziert",T81.3
"Infektion nach einem Eingriff, anderenorts nicht klassifiziert",T81.4
"Fremdkörper, der versehentlich nach einem Eingriff in einer Körperhöhle oder Operationswunde zurückgeblieben ist",T81.5
Akute Reaktion auf eine während eines Eingriffes versehentlich zurückgebliebene Fremdsubstanz,T81.6
"Gefäßkomplikationen nach einem Eingriff, anderenorts nicht klassifiziert",T81.7
"Sonstige Komplikationen bei Eingriffen, anderenorts nicht klassifiziert",T81.8
Nicht näher bezeichnete Komplikation eines Eingriffes,T81.9
"Komplikationen durch Prothesen, Implantate oder Transplantate im Herzen und in den Gefäßen",T82
Mechanische Komplikation durch eine Herzklappenprothese,T82.0
Mechanische Komplikation durch ein kardiales elektronisches Gerät,T82.1
Mechanische Komplikation durch Koronararterien-Bypass und Klappentransplantate,T82.2
Mechanische Komplikation durch sonstige Gefäßtransplantate,T82.3
Mechanische Komplikation durch Gefäßkatheter bei Dialyse,T82.4
Mechanische Komplikation durch sonstige Geräte und Implantate im Herzen und in den Gefäßen,T82.5
Infektion und entzündliche Reaktion durch eine Herzklappenprothese,T82.6
"Infektion und entzündliche Reaktion durch sonstige Geräte, Implantate oder Transplantate im Herzen und in den Gefäßen",T82.7
"Sonstige näher bezeichnete Komplikationen durch Prothesen, Implantate oder Transplantate im Herzen und in den Gefäßen",T82.8
"Nicht näher bezeichnete Komplikation durch Prothese, Implantat oder Transplantat im Herzen und in den Gefäßen",T82.9
"Komplikationen durch Prothesen, Implantate oder Transplantate im Urogenitaltrakt",T83
Mechanische Komplikation durch einen Harnwegskatheter (Verweilkatheter),T83.0
Mechanische Komplikation durch sonstige Geräte oder Implantate im Harntrakt,T83.1
Mechanische Komplikation durch ein Harnorgantransplantat,T83.2
Mechanische Komplikation durch ein Intrauterinpessar,T83.3
"Mechanische Komplikation durch sonstige Prothesen, Implantate oder Transplantate im Genitaltrakt",T83.4
"Infektion und entzündliche Reaktion durch Prothese, Implantat oder Transplantat im Harntrakt",T83.5
"Infektion und entzündliche Reaktion durch Prothese, Implantat oder Transplantat im Genitaltrakt",T83.6
"Sonstige Komplikationen durch Prothesen, Implantate oder Transplantate im Urogenitaltrakt",T83.8
"Nicht näher bezeichnete Komplikation durch Prothese, Implantat oder Transplantat im Urogenitaltrakt",T83.9
"Komplikationen durch orthopädische Endoprothesen, Implantate oder Transplantate",T84
Mechanische Komplikation durch eine Gelenkendoprothese,T84.0
Schultergelenk,T84.00
Ellenbogengelenk,T84.01
Radiuskopfgelenk,T84.02
Handgelenk,T84.03
Hüftgelenk,T84.04
Kniegelenk,T84.05
Sprunggelenk,T84.06
Bandscheibe,T84.07
Sonstige näher bezeichnete Gelenke,T84.08
Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen,T84.1
Schulterregion,T84.10
Oberarm,T84.11
Unterarm,T84.12
Hand,T84.13
Beckenregion und Oberschenkel,T84.14
Unterschenkel,T84.15
Knöchel und Fuß,T84.16
Sonstige näher bezeichnete Extremitätenknochen,T84.18
Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an sonstigen Knochen,T84.2
Wirbelsäule,T84.20
Sonstige näher bezeichnete Knochen,T84.28
"Mechanische Komplikation durch sonstige Knochengeräte, -implantate oder -transplantate",T84.3
"Mechanische Komplikation durch sonstige intern verwendete orthopädische Geräte, Implantate und Transplantate",T84.4
Infektion und entzündliche Reaktion durch eine Gelenkendoprothese,T84.5
Infektion und entzündliche Reaktion durch eine interne Osteosynthesevorrichtung [jede Lokalisation],T84.6
"Infektion und entzündliche Reaktion durch sonstige orthopädische Endoprothesen, Implantate oder Transplantate",T84.7
"Sonstige Komplikationen durch orthopädische Endoprothesen, Implantate oder Transplantate",T84.8
"Nicht näher bezeichnete Komplikation durch orthopädische Endoprothese, Implantat oder Transplantat",T84.9
"Komplikationen durch sonstige interne Prothesen, Implantate oder Transplantate",T85
"Mechanische Komplikation durch einen ventrikulären, intrakraniellen Shunt",T85.0
Mechanische Komplikation durch einen implantierten elektronischen Stimulator des Nervensystems,T85.1
Mechanische Komplikation durch eine intraokulare Linse,T85.2
"Mechanische Komplikation durch sonstige Augenprothesen, -implantate oder -transplantate",T85.3
Mechanische Komplikation durch Mammaprothese oder -implantat,T85.4
"Mechanische Komplikation durch gastrointestinale Prothesen, Implantate oder Transplantate",T85.5
"Mechanische Komplikation durch Prothesen, Implantate oder Transplantate im Ösophagus",T85.50
"Mechanische Komplikation durch Prothesen, Implantate oder Transplantate im sonstigen oberen Gastrointestinaltrakt",T85.51
"Mechanische Komplikation durch Prothesen, Implantate oder Transplantate im unteren Gastrointestinaltrakt",T85.52
"Mechanische Komplikation durch Prothesen, Implantate oder Transplantate in den Gallenwegen",T85.53
"Mechanische Komplikation durch Prothesen, Implantate oder Transplantate im Pankreas",T85.54
"Mechanische Komplikation durch gastrointestinale Prothesen, Implantate oder Transplantate, Lokalisation nicht näher bezeichnet",T85.59
"Mechanische Komplikation durch sonstige näher bezeichnete interne Prothesen, Implantate oder Transplantate",T85.6
"Infektion und entzündliche Reaktion durch sonstige interne Prothesen, Implantate oder Transplantate",T85.7
Infektion und entzündliche Reaktion durch Katheter zur Peritonealdialyse,T85.71
"Infektion und entzündliche Reaktion durch interne Prothesen, Implantate oder Transplantate im Nervensystem",T85.72
Infektion und entzündliche Reaktion durch Mammaprothese oder -implantat,T85.73
Infektion und entzündliche Reaktion durch perkutan-endoskopische Gastrostomie-Sonde [PEG-Sonde],T85.74
"Infektion und entzündliche Reaktion durch interne Prothesen, Implantate oder Transplantate im hepatobiliären System und im Pankreas",T85.75
"Infektion und entzündliche Reaktion durch sonstige interne Prothesen, Implantate oder Transplantate im sonstigen Gastrointestinaltrakt",T85.76
"Infektion und entzündliche Reaktion durch sonstige interne Prothesen, Implantate oder Transplantate",T85.78
"Sonstige Komplikationen durch interne Prothesen, Implantate oder Transplantate, anderenorts nicht klassifiziert",T85.8
"Sonstige Komplikationen durch interne Prothesen, Implantate oder Transplantate im Nervensystem",T85.81
Kapselfibrose der Mamma durch Mammaprothese oder -implantat,T85.82
Sonstige Komplikationen durch Mammaprothese oder -implantat,T85.83
"Sonstige Komplikationen durch interne Prothesen, Implantate oder Transplantate, anderenorts nicht klassifiziert",T85.88
"Nicht näher bezeichnete Komplikation durch interne Prothese, Implantat oder Transplantat",T85.9
Versagen und Abstoßung von transplantierten Organen und Geweben,T86
Versagen eines Transplantates hämatopoetischer Stammzellen und Graft-versus-Host-Krankheit,T86.0
Versagen eines Transplantates hämatopoetischer Stammzellen,T86.00
"Akute Graft-versus-Host-Krankheit, Grad I und II",T86.01
"Akute Graft-versus-Host-Krankheit, Grad III und IV",T86.02
"Chronische Graft-versus-Host-Krankheit, mild",T86.05
"Chronische Graft-versus-Host-Krankheit, moderat",T86.06
"Chronische Graft-versus-Host-Krankheit, schwer",T86.07
"Graft-versus-Host-Krankheit, nicht näher bezeichnet",T86.09
"Funktionsstörung, Versagen und Abstoßung eines Nierentransplantates",T86.1
Akute Funktionsverschlechterung eines Nierentransplantates,T86.10
Chronische Funktionsverschlechterung eines Nierentransplantates,T86.11
Verzögerte Aufnahme der Transplantatfunktion,T86.12
"Sonstige und nicht näher bezeichnete Funktionsstörung, Versagen und Abstoßung eines Nierentransplantates",T86.19
Versagen und Abstoßung eines Herztransplantates,T86.2
Versagen und Abstoßung eines Herz-Lungen-Transplantates,T86.3
"Funktionsstörung, Versagen und Abstoßung eines Lebertransplantates",T86.4
Akute Funktionsverschlechterung eines Lebertransplantates,T86.40
Chronische Funktionsverschlechterung eines Lebertransplantates,T86.41
"Sonstige und nicht näher bezeichnete Funktionsstörung, Versagen und Abstoßung eines Lebertransplantates",T86.49
Versagen und Abstoßung eines Hauttransplantates,T86.5
Durchblutungsstörung eines Hauttransplantates,T86.50
Nekrose eines Hauttransplantates,T86.51
Verlust eines Hauttransplantates,T86.52
Sonstiges und nicht näher bezeichnetes Versagen und Abstoßung eines Hauttransplantates,T86.59
Versagen und Abstoßung sonstiger transplantierter Organe und Gewebe,T86.8
Lungentransplantat,T86.81
Pankreastransplantat,T86.82
Hornhauttransplantat des Auges,T86.83
Sonstige transplantierte Organe und Gewebe,T86.88
Versagen und Abstoßung eines nicht näher bezeichneten transplantierten Organs und Gewebes,T86.9
"Komplikationen, die für Replantation und Amputation bezeichnend sind",T87
Komplikationen durch replantierte (Teile der) obere(n) Extremität,T87.0
Komplikationen durch replantierte (Teile der) untere(n) Extremität,T87.1
Komplikationen durch sonstigen replantierten Körperteil,T87.2
Neurom des Amputationsstumpfes,T87.3
Infektion des Amputationsstumpfes,T87.4
Nekrose des Amputationsstumpfes,T87.5
Sonstige und nicht näher bezeichnete Komplikationen am Amputationsstumpf,T87.6
"Sonstige Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T88
Infektion nach Impfung [Immunisierung],T88.0
"Sonstige Komplikationen nach Impfung [Immunisierung], anderenorts nicht klassifiziert",T88.1
Schock durch Anästhesie,T88.2
Maligne Hyperthermie durch Anästhesie,T88.3
Misslungene oder schwierige Intubation,T88.4
Sonstige Komplikationen infolge Anästhesie,T88.5
Anaphylaktischer Schock als unerwünschte Nebenwirkung eines indikationsgerechten Arzneimittels oder einer indikationsgerechten Droge bei ordnungsgemäßer Verabreichung,T88.6
Nicht näher bezeichnete unerwünschte Nebenwirkung eines Arzneimittels oder einer Droge,T88.7
"Sonstige näher bezeichnete Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T88.8
"Komplikation bei chirurgischen Eingriffen und medizinischer Behandlung, nicht näher bezeichnet",T88.9
Chorea Huntington,G10
Hereditäre Ataxie,G11
Angeborene nichtprogressive Ataxie,G11.0
Früh beginnende zerebellare Ataxie,G11.1
Spät beginnende zerebellare Ataxie,G11.2
Zerebellare Ataxie mit defektem DNA-Reparatursystem,G11.3
Hereditäre spastische Paraplegie,G11.4
Sonstige hereditäre Ataxien,G11.8
"Hereditäre Ataxie, nicht näher bezeichnet",G11.9
Spinale Muskelatrophie und verwandte Syndrome,G12
"Infantile spinale Muskelatrophie, Typ I [Typ Werdnig-Hoffmann]",G12.0
Sonstige vererbte spinale Muskelatrophie,G12.1
Motoneuron-Krankheit,G12.2
Sonstige spinale Muskelatrophien und verwandte Syndrome,G12.8
"Spinale Muskelatrophie, nicht näher bezeichnet",G12.9
"Systematrophien, vorwiegend das Zentralnervensystem betreffend, bei anderenorts klassifizierten Krankheiten",G13
Paraneoplastische Neuromyopathie und Neuropathie,G13.0
"Sonstige Systematrophien, vorwiegend das Zentralnervensystem betreffend, bei Neubildungen",G13.1
"Systematrophie, vorwiegend das Zentralnervensystem betreffend, bei Myxödem (E00.1†, E03.-†)",G13.2
"Systematrophien, vorwiegend das Zentralnervensystem betreffend, bei sonstigen anderenorts klassifizierten Krankheiten",G13.8
Postpolio-Syndrom,G14
Konjunktivitis,H10
Mukopurulente Konjunktivitis,H10.0
Akute allergische Konjunktivitis,H10.1
Sonstige akute Konjunktivitis,H10.2
"Akute Konjunktivitis, nicht näher bezeichnet",H10.3
Chronische Konjunktivitis,H10.4
Blepharokonjunktivitis,H10.5
Sonstige Konjunktivitis,H10.8
"Konjunktivitis, nicht näher bezeichnet",H10.9
Sonstige Affektionen der Konjunktiva,H11
Pterygium,H11.0
Konjunktivadegeneration und -einlagerungen,H11.1
Narben der Konjunktiva,H11.2
Blutung der Konjunktiva,H11.3
Sonstige Gefäßkrankheiten und Zysten der Konjunktiva,H11.4
Sonstige näher bezeichnete Affektionen der Konjunktiva,H11.8
"Affektion der Konjunktiva, nicht näher bezeichnet",H11.9
Affektionen der Konjunktiva bei anderenorts klassifizierten Krankheiten,H13
Filarienbefall der Konjunktiva (B74.-†),H13.0
Konjunktivitis bei anderenorts klassifizierten infektiösen und parasitären Krankheiten,H13.1
Konjunktivitis bei sonstigen anderenorts klassifizierten Krankheiten,H13.2
Okuläres Pemphigoid (L12.-†),H13.3
Sonstige Affektionen der Konjunktiva bei anderenorts klassifizierten Krankheiten,H13.8
Salpingitis und Oophoritis,N70
Akute Salpingitis und Oophoritis,N70.0
Chronische Salpingitis und Oophoritis,N70.1
"Salpingitis und Oophoritis, nicht näher bezeichnet",N70.9
"Entzündliche Krankheit des Uterus, ausgenommen der Zervix",N71
"Akute entzündliche Krankheit des Uterus, ausgenommen der Zervix",N71.0
"Chronische entzündliche Krankheit des Uterus, ausgenommen der Zervix",N71.1
"Entzündliche Krankheit des Uterus, ausgenommen der Zervix, nicht näher bezeichnet",N71.9
Entzündliche Krankheit der Cervix uteri,N72
Sonstige entzündliche Krankheiten im weiblichen Becken,N73
Akute Parametritis und Entzündung des Beckenbindegewebes,N73.0
Chronische Parametritis und Entzündung des Beckenbindegewebes,N73.1
Nicht näher bezeichnete Parametritis und Entzündung des Beckenbindegewebes,N73.2
Akute Pelveoperitonitis bei der Frau,N73.3
Chronische Pelveoperitonitis bei der Frau,N73.4
"Pelveoperitonitis bei der Frau, nicht näher bezeichnet",N73.5
Peritoneale Adhäsionen im weiblichen Becken,N73.6
Sonstige näher bezeichnete entzündliche Krankheiten im weiblichen Becken,N73.8
"Entzündliche Krankheit im weiblichen Becken, nicht näher bezeichnet",N73.9
Entzündung im weiblichen Becken bei anderenorts klassifizierten Krankheiten,N74
Tuberkulöse Infektion der Cervix uteri (A18.1†),N74.0
Tuberkulöse Entzündung im weiblichen Becken (A18.1†),N74.1
"Syphilitische Entzündung im weiblichen Becken (A51.4†, A52.7†)",N74.2
Entzündung im weiblichen Becken durch Gonokokken (A54.2†),N74.3
Entzündung im weiblichen Becken durch Chlamydien (A56.1†),N74.4
Entzündung im weiblichen Becken bei sonstigen anderenorts klassifizierten Krankheiten,N74.8
Krankheiten der Bartholin-Drüsen,N75
Bartholin-Zyste,N75.0
Bartholin-Abszess,N75.1
Sonstige Krankheiten der Bartholin-Drüsen,N75.8
"Krankheit der Bartholin-Drüsen, nicht näher bezeichnet",N75.9
Sonstige entzündliche Krankheit der Vagina und Vulva,N76
Akute Kolpitis,N76.0
Subakute und chronische Kolpitis,N76.1
Akute Vulvitis,N76.2
Subakute und chronische Vulvitis,N76.3
Abszess der Vulva,N76.4
Ulzeration der Vagina,N76.5
Ulzeration der Vulva,N76.6
Sonstige näher bezeichnete entzündliche Krankheit der Vagina und Vulva,N76.8
Fournier-Gangrän bei der Frau,N76.80
Sonstige näher bezeichnete entzündliche Krankheit der Vagina und Vulva,N76.88
Vulvovaginale Ulzeration und Entzündung bei anderenorts klassifizierten Krankheiten,N77
Ulzeration der Vulva bei anderenorts klassifizierten infektiösen und parasitären Krankheiten,N77.0
"Vaginitis, Vulvitis oder Vulvovaginitis bei anderenorts klassifizierten infektiösen und parasitären Krankheiten",N77.1
Vulvovaginale Ulzerationen und Entzündungen bei der chronischer Graft-versus-Host-Krankheit,N77.2
"Stadium 1 der chronischen Vulvovaginal-Graft-versus-Host-Krankheit  (T86.05†, T86.06†)",N77.21
Stadium 2 der chronischen Vulvovaginal-Graft-versus-Host-Krankheit  (T86.06†),N77.22
Stadium 3 der chronischen Vulvovaginal-Graft-versus-Host-Krankheit (T86.07†),N77.23
Vulvovaginale Ulzeration und Entzündung bei sonstigen anderenorts klassifizierten Krankheiten,N77.8
Bösartige Neubildung in der Familienanamnese,Z80
Bösartige Neubildung der Verdauungsorgane in der Familienanamnese,Z80.0
"Bösartige Neubildung der Trachea, der Bronchien oder der Lunge in der Familienanamnese",Z80.1
Bösartige Neubildung anderer Atmungs- und intrathorakaler Organe in der Familienanamnese,Z80.2
Bösartige Neubildung der Brustdrüse [Mamma] in der Familienanamnese,Z80.3
Bösartige Neubildung der Genitalorgane in der Familienanamnese,Z80.4
Bösartige Neubildung der Harnorgane in der Familienanamnese,Z80.5
Leukämie in der Familienanamnese,Z80.6
"Andere bösartige Neubildungen des lymphatischen, blutbildenden oder verwandten Gewebes in der Familienanamnese",Z80.7
Bösartige Neubildung sonstiger Organe und Systeme in der Familienanamnese,Z80.8
"Bösartige Neubildung in der Familienanamnese, nicht näher bezeichnet",Z80.9
Psychische Krankheiten oder Verhaltensstörungen in der Familienanamnese,Z81
"Bestimmte Behinderungen oder chronische Krankheiten in der Familienanamnese, die zu Schädigung oder Behinderung führen",Z82
Andere spezifische Krankheiten in der Familienanamnese,Z83
Infektiöse oder parasitäre Krankheiten in der Familienanamnese,Z83.1
Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems in der Familienanamnese,Z83.2
Diabetes mellitus in der Familienanamnese,Z83.3
"Andere endokrine, Ernährungs- oder Stoffwechselkrankheiten in der Familienanamnese",Z83.4
Augen- oder Ohrenkrankheiten in der Familienanamnese,Z83.5
Krankheiten der Atemwege in der Familienanamnese,Z83.6
Krankheiten des Verdauungssystems in der Familienanamnese,Z83.7
Andere Krankheiten oder Zustände in der Familienanamnese,Z84
Krankheiten der Haut und der Unterhaut in der Familienanamnese,Z84.0
Krankheiten der Niere oder des Ureters in der Familienanamnese,Z84.1
Andere Krankheiten des Urogenitalsystems in der Familienanamnese,Z84.2
Konsanguinität in der Familienanamnese,Z84.3
Sonstige näher bezeichnete Krankheiten oder Zustände in der Familienanamnese,Z84.8
Bösartige Neubildung in der Eigenanamnese,Z85
Bösartige Neubildung der Verdauungsorgane in der Eigenanamnese,Z85.0
"Bösartige Neubildung der Trachea, der Bronchien oder der Lunge in der Eigenanamnese",Z85.1
Bösartige Neubildung anderer Atmungs- und intrathorakaler Organe in der Eigenanamnese,Z85.2
Bösartige Neubildung der Brustdrüse [Mamma] in der Eigenanamnese,Z85.3
Bösartige Neubildung der Genitalorgane in der Eigenanamnese,Z85.4
Bösartige Neubildung der Harnorgane in der Eigenanamnese,Z85.5
Leukämie in der Eigenanamnese,Z85.6
"Andere bösartige Neubildungen des lymphatischen, blutbildenden oder verwandten Gewebes in der Eigenanamnese",Z85.7
Bösartige Neubildungen sonstiger Organe oder Systeme in der Eigenanamnese,Z85.8
"Bösartige Neubildung in der Eigenanamnese, nicht näher bezeichnet",Z85.9
Bestimmte andere Krankheiten in der Eigenanamnese,Z86
Andere Neubildungen in der Eigenanamnese,Z86.0
Infektiöse oder parasitäre Krankheiten in der Eigenanamnese,Z86.1
Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems in der Eigenanamnese,Z86.2
"Endokrine, Ernährungs- oder Stoffwechselkrankheiten in der Eigenanamnese",Z86.3
Missbrauch einer psychotropen Substanz in der Eigenanamnese,Z86.4
Andere psychische Krankheiten oder Verhaltensstörungen in der Eigenanamnese,Z86.5
Krankheiten des Nervensystems oder der Sinnesorgane in der Eigenanamnese,Z86.6
Krankheiten des Kreislaufsystems in der Eigenanamnese,Z86.7
Andere Krankheiten oder Zustände in der Eigenanamnese,Z87
Krankheiten des Atmungssystems in der Eigenanamnese,Z87.0
Krankheiten des Verdauungssystems in der Eigenanamnese,Z87.1
Krankheiten der Haut und der Unterhaut in der Eigenanamnese,Z87.2
Krankheiten des Muskel-Skelett-Systems und des Bindegewebes in der Eigenanamnese,Z87.3
Krankheiten des Urogenitalsystems in der Eigenanamnese,Z87.4
"Komplikationen der Schwangerschaft, der Geburt und des Wochenbettes in der Eigenanamnese",Z87.5
Bestimmte in der Perinatalperiode entstandene Zustände in der Eigenanamnese,Z87.6
"Angeborene Fehlbildungen, Deformitäten oder Chromosomenanomalien in der Eigenanamnese",Z87.7
